	target	target_accession	query	query_accesion	full_evalue	full_score	full_bias	best_evalue	best_score	best_bias	exp	reg	clu	ov	env	dom	rep	inc	description	taxid	organism	id	gi	db	status	length	tax_id	superkingdom	phylum	class	order	family	genus	species	cohort	forma	infraclass	infraorder	kingdom	no rank	no rank1	no rank10	no rank11	no rank12	no rank13	no rank14	no rank15	no rank16	no rank17	no rank18	no rank19	no rank2	no rank20	no rank21	no rank22	no rank3	no rank4	no rank5	no rank6	no rank7	no rank8	no rank9	parvorder	species group	species subgroup	subclass	subfamily	subgenus	subkingdom	suborder	subphylum	subspecies	subtribe	superclass	superfamily	superorder	superphylum	tribe	varietas
313203	MFS_efflux	RF0104	YP_001816613.1	-	3.799999999999999e-125	410.8	52.9	4.2999999999999997e-125	410.6	52.9	1.0	1.0	0	0	1	1	1	1	major facilitator superfamily (MFS) antibiotic efflux pump [ARO:0010002]	562	Escherichia coli	YP_001816613.1	187736875	bacteria|complete|plasmid	PROVISIONAL	511	562.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli						cellular organisms																																							
316308	TEM	RF0126	YP_001874868.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	587	Providencia rettgeri	YP_001874868.1	187729587	bacteria|complete|plasmid	PROVISIONAL	286	587.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia rettgeri						cellular organisms																																							
316312	APH6	RF0034	YP_001874898.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	587	Providencia rettgeri	YP_001874898.1	187729617	bacteria|complete|plasmid	PROVISIONAL	278	587.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia rettgeri						cellular organisms																																							
316316	ANT3	RF0027	YP_001874900.1	-	1.0999999999999998e-158	519.3	0.9	1.1999999999999996e-158	519.2	0.9	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	587	Providencia rettgeri	YP_001874900.1	187729619	bacteria|complete|plasmid	PROVISIONAL	265	587.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia rettgeri						cellular organisms																																							
325600	TetA	RF0127	YP_001911158.1	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	98360	Salmonella enterica subsp. enterica serovar Dublin	YP_001911158.1	189009830	bacteria|complete|plasmid	PROVISIONAL	399																																																					
325601	APH3''	RF0172	YP_001911195.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	98360	Salmonella enterica subsp. enterica serovar Dublin	YP_001911195.1	189009824	bacteria|complete|plasmid	PROVISIONAL	267																																																					
325602	APH6	RF0034	YP_001911196.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	98360	Salmonella enterica subsp. enterica serovar Dublin	YP_001911196.1	189009825	bacteria|complete|plasmid	PROVISIONAL	278																																																					
325603	TEM	RF0126	YP_001928075.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	573	Klebsiella pneumoniae	YP_001928075.1	189009193	bacteria|complete|plasmid	PROVISIONAL	286	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
326014	ClassD	RF0056	YP_001928076.1	-	7.699999999999999e-68	221.3	0.0	8.899999999999998e-68	221.1	0.0	1.0	1.0	0	0	1	1	1	1	Class D beta-lactamases [ARO:3000075;ARO:3000017]	573	Klebsiella pneumoniae	YP_001928076.1	189009194	bacteria|complete|plasmid	PROVISIONAL	279	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
326425	ANT3	RF0027	YP_001928077.1	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	573	Klebsiella pneumoniae	YP_001928077.1	189009195	bacteria|complete|plasmid	PROVISIONAL	262	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
326836	AAC6-Ib	RF0005	YP_001928078.1	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	573	Klebsiella pneumoniae	YP_001928078.1	189009196	bacteria|complete|plasmid	PROVISIONAL	201	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
327247	ClassD	RF0056	YP_001928079.1	-	7.699999999999999e-68	221.3	0.0	8.899999999999998e-68	221.1	0.0	1.0	1.0	0	0	1	1	1	1	Class D beta-lactamases [ARO:3000075;ARO:3000017]	573	Klebsiella pneumoniae	YP_001928079.1	189009197	bacteria|complete|plasmid	PROVISIONAL	279	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
327658	ANT3	RF0027	YP_001928080.1	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	573	Klebsiella pneumoniae	YP_001928080.1	189009198	bacteria|complete|plasmid	PROVISIONAL	262	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
328069	AAC6-Ib	RF0005	YP_001928081.1	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	573	Klebsiella pneumoniae	YP_001928081.1	189009199	bacteria|complete|plasmid	PROVISIONAL	201	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
328480	AAC3	RF0002	YP_001941134.1	-	3.3999999999999996e-146	478.6	0.4	3.899999999999999e-146	478.4	0.4	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	715	Actinobacillus pleuropneumoniae	YP_001941134.1	189332437	bacteria|complete|plasmid	PROVISIONAL	286	715.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae						cellular organisms																																							
328510	Chlor_Acetyltrans_CAT	RF0050	YP_001941136.1	-	3.599999999999999e-87	284.5	1.0	3.8999999999999994e-87	284.4	1.0	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	715	Actinobacillus pleuropneumoniae	YP_001941136.1	189332439	bacteria|complete|plasmid	PROVISIONAL	213	715.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae						cellular organisms																																							
328540	APH3''	RF0172	YP_001941137.1	-	4.399999999999999e-165	540.5	0.2	4.899999999999998e-165	540.3	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	715	Actinobacillus pleuropneumoniae	YP_001941137.1	189332440	bacteria|complete|plasmid	PROVISIONAL	267	715.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae						cellular organisms																																							
328570	ClassA	RF0053	YP_001941143.1	-	1.4999999999999997e-98	322.2	1.2	1.9999999999999996e-98	321.9	1.2	1.0	1.0	0	0	1	1	1	1	Class A beta-lactamase [ARO:3000078]	715	Actinobacillus pleuropneumoniae	YP_001941143.1	189332446	bacteria|complete|plasmid	PROVISIONAL	305	715.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae						cellular organisms																																							
328600	APH3	RF0033	YP_001941144.1	-	9.399999999999997e-146	477.0	0.0	1.0999999999999996e-145	476.8	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	715	Actinobacillus pleuropneumoniae	YP_001941144.1	189332447	bacteria|complete|plasmid	PROVISIONAL	271	715.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae						cellular organisms																																							
328630	TEM	RF0126	YP_001965403.1	-	4.399999999999998e-205	672.1	0.0	4.899999999999998e-205	672.0	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	562	Escherichia coli	YP_001965403.1	190014891	bacteria|complete|plasmid	PROVISIONAL	286	562.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli						cellular organisms																																							
331727	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	YP_001965780.1	-	4.7999999999999975e-198	650.4	2.6	5.599999999999997e-198	650.2	2.6	1.0	1.0	0	0	1	1	1	1	A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c) [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	573	Klebsiella pneumoniae	YP_001965780.1	190410279	bacteria|complete|plasmid	PROVISIONAL	382	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
332138	ANT3	RF0027	YP_001965793.1	-	2.899999999999999e-168	550.7	0.8	3.199999999999999e-168	550.5	0.8	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	573	Klebsiella pneumoniae	YP_001965793.1	190410290	bacteria|complete|plasmid	PROVISIONAL	272	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
332549	Chlor_Acetyltrans_CAT	RF0050	YP_001965795.1	-	1.3e-50	164.9	0.0	1.5999999999999998e-50	164.7	0.0	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	573	Klebsiella pneumoniae	YP_001965795.1	190410292	bacteria|complete|plasmid	PROVISIONAL	210	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
332960	CTXM	RF0059	YP_001965928.1	-	4.699999999999998e-193	632.8	4.5	5.199999999999998e-193	632.6	4.5	1.0	1.0	0	0	1	1	1	1	CTX-M beta-lactamase (class a) [ARO:3000016]	573	Klebsiella pneumoniae	YP_001965928.1	190410425	bacteria|complete|plasmid	PROVISIONAL	291	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
333378	TEM	RF0126	YP_001966135.1	-	2.599999999999999e-204	669.6	0.0	2.8999999999999987e-204	669.4	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	485	Neisseria gonorrhoeae	YP_001966135.1	190410144	bacteria|complete|plasmid	PROVISIONAL	286	485.0	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae						cellular organisms																																							
333465	TetD	RF0130	YP_001966176.1	-	1.3999999999999993e-269	886.3	34.1	1.599999999999999e-269	886.1	34.1	1.0	1.0	0	0	1	1	1	1	tetD: tetracycline resistance MFS efflux pump [ARO:3000168]	573	Klebsiella pneumoniae	YP_001966176.1	190576844	bacteria|complete|plasmid	PROVISIONAL	394	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
333876	APH3''	RF0172	YP_001966217.1	-	2.6e-124	406.8	0.4	2.8999999999999994e-124	406.6	0.4	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	573	Klebsiella pneumoniae	YP_001966217.1	190576885	bacteria|complete|plasmid	PROVISIONAL	205	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
334287	APH6	RF0034	YP_001966218.1	-	8.799999999999998e-150	490.7	1.5	9.699999999999997e-150	490.6	1.5	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	573	Klebsiella pneumoniae	YP_001966218.1	190576886	bacteria|complete|plasmid	PROVISIONAL	278	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
334698	Chlor_Acetyltrans_CAT	RF0050	YP_001966224.1	-	7.799999999999998e-89	289.9	0.3	8.699999999999997e-89	289.8	0.3	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	573	Klebsiella pneumoniae	YP_001966224.1	190576892	bacteria|complete|plasmid	PROVISIONAL	213	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
335109	SHV-LEN	RF0119	YP_001966240.1	-	8.499999999999995e-204	667.9	2.5	9.499999999999995e-204	667.7	2.5	1.0	1.0	0	0	1	1	1	1	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	573	Klebsiella pneumoniae	YP_001966240.1	190576908	bacteria|complete|plasmid	PROVISIONAL	286	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
335520	AAC3	RF0002	YP_001966247.1	-	3.3999999999999996e-146	478.6	0.4	3.899999999999999e-146	478.4	0.4	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	573	Klebsiella pneumoniae	YP_001966247.1	190576915	bacteria|complete|plasmid	PROVISIONAL	286	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
335931	ClassA	RF0053	YP_001966253.1	-	1.4999999999999997e-111	364.9	0.0	1.6999999999999996e-111	364.7	0.0	1.0	1.0	0	0	1	1	1	1	Class A beta-lactamase [ARO:3000078]	573	Klebsiella pneumoniae	YP_001966253.1	190576921	bacteria|complete|plasmid	PROVISIONAL	285	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
336342	Qnr	RF0113	YP_001966255.1	-	6.1e-123	401.4	8.6	6.799999999999999e-123	401.3	8.6	1.0	1.0	0	0	1	1	1	1	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	573	Klebsiella pneumoniae	YP_001966255.1	190576923	bacteria|complete|plasmid	PROVISIONAL	218	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
336753	TetH-TetJ	RF0132	YP_001966263.1	-	1.2999999999999993e-280	922.9	29.3	1.399999999999999e-280	922.7	29.3	1.0	1.0	0	0	1	1	1	1	tetH and TetJ: tetracycline resistance MFS efflux pumps [ARO:3000175;ARO:3000177]	715	Actinobacillus pleuropneumoniae	YP_001966263.1	190570468	bacteria|complete|plasmid	PROVISIONAL	400	715.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae						cellular organisms																																							
336783	TEM	RF0126	YP_001966385.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	90371	Salmonella enterica subsp. enterica serovar Typhimurium	YP_001966385.1	190570395	bacteria|complete|plasmid	PROVISIONAL	286																																																					
336784	APH3''	RF0172	YP_001966535.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	728	Avibacterium paragallinarum	YP_001966535.1	190570474	bacteria|complete|plasmid	PROVISIONAL	267	728.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Avibacterium	Avibacterium paragallinarum						cellular organisms																																							
336795	APH3	RF0033	YP_001966537.1	-	6.899999999999998e-145	474.2	0.0	7.699999999999998e-145	474.0	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	728	Avibacterium paragallinarum	YP_001966537.1	190570476	bacteria|complete|plasmid	PROVISIONAL	271	728.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Avibacterium	Avibacterium paragallinarum						cellular organisms																																							
336806	Chlor_Acetyltrans_CAT	RF0050	YP_001966860.1	-	2.1999999999999994e-89	291.7	0.2	2.3999999999999998e-89	291.6	0.2	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	644	Aeromonas hydrophila	YP_001966860.1	190570438	bacteria|complete|plasmid	PROVISIONAL	213	644.0	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila						cellular organisms																																							
336841	ANT3	RF0027	YP_001966864.1	-	6.399999999999998e-168	549.5	0.9	7.199999999999997e-168	549.4	0.9	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	644	Aeromonas hydrophila	YP_001966864.1	190570442	bacteria|complete|plasmid	PROVISIONAL	263	644.0	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila						cellular organisms																																							
339432	Qnr	RF0113	YP_001976181.1	-	6.1e-123	401.4	8.6	6.799999999999999e-123	401.3	8.6	1.0	1.0	0	0	1	1	1	1	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	90371	Salmonella enterica subsp. enterica serovar Typhimurium	YP_001976181.1	192351294	bacteria|complete|plasmid	PROVISIONAL	218																																																					
341967	Qnr	RF0113	YP_002221301.1	-	5.499999999999998e-122	398.3	9.2	6.099999999999998e-122	398.1	9.2	1.0	1.0	0	0	1	1	1	1	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	644	Aeromonas hydrophila	YP_002221301.1	198286631	bacteria|complete|plasmid	PROVISIONAL	218	644.0	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila						cellular organisms																																							
342364	APH3''	RF0172	YP_002286765.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	747	Pasteurella multocida	YP_002286765.1	209809838	bacteria|complete|plasmid	PROVISIONAL	267	747.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida						cellular organisms																																							
342400	APH6	RF0034	YP_002286766.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	747	Pasteurella multocida	YP_002286766.1	209809839	bacteria|complete|plasmid	PROVISIONAL	278	747.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida						cellular organisms																																							
342436	Chlor_Efflux_Pump	RF0051	YP_002286768.1	-	2.4999999999999992e-169	556.5	48.1	2.799999999999999e-169	556.3	48.1	1.0	1.0	0	0	1	1	1	1	chloramphenicol efflux pump [ARO:3001212]	747	Pasteurella multocida	YP_002286768.1	209809841	bacteria|complete|plasmid	PROVISIONAL	404	747.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida						cellular organisms																																							
342472	AAC6-Ib	RF0005	YP_002286819.1	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	573	Klebsiella pneumoniae	YP_002286819.1	209901037	bacteria|complete|plasmid	PROVISIONAL	201	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
342883	KPC	RF0083	YP_002286834.1	-	3.399999999999999e-209	685.8	3.6	3.7999999999999983e-209	685.6	3.6	1.0	1.0	0	0	1	1	1	1	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	573	Klebsiella pneumoniae	YP_002286834.1	209901052	bacteria|complete|plasmid	PROVISIONAL	293	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
343294	KPC	RF0083	YP_002286844.1	-	3.399999999999999e-209	685.8	3.6	3.7999999999999983e-209	685.6	3.6	1.0	1.0	0	0	1	1	1	1	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	573	Klebsiella pneumoniae	YP_002286844.1	209901062	bacteria|complete|plasmid	PROVISIONAL	293	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
343705	KPC	RF0083	YP_002286855.1	-	3.399999999999999e-209	685.8	3.6	3.7999999999999983e-209	685.6	3.6	1.0	1.0	0	0	1	1	1	1	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	573	Klebsiella pneumoniae	YP_002286855.1	209901073	bacteria|complete|plasmid	PROVISIONAL	293	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
344116	APH3''	RF0172	YP_002286962.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	573	Klebsiella pneumoniae	YP_002286962.1	209901181	bacteria|complete|plasmid	PROVISIONAL	267	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
344527	APH6	RF0034	YP_002286963.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	573	Klebsiella pneumoniae	YP_002286963.1	209901183	bacteria|complete|plasmid	PROVISIONAL	278	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
344938	TEM	RF0126	YP_002286965.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	573	Klebsiella pneumoniae	YP_002286965.1	209901184	bacteria|complete|plasmid	PROVISIONAL	286	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
345349	ClassD	RF0056	YP_002286967.1	-	7.699999999999999e-68	221.3	0.0	8.899999999999998e-68	221.1	0.0	1.0	1.0	0	0	1	1	1	1	Class D beta-lactamases [ARO:3000075;ARO:3000017]	573	Klebsiella pneumoniae	YP_002286967.1	209901186	bacteria|complete|plasmid	PROVISIONAL	279	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
345760	ANT3	RF0027	YP_002286968.1	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	573	Klebsiella pneumoniae	YP_002286968.1	209901187	bacteria|complete|plasmid	PROVISIONAL	262	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
346171	AAC6-Ib	RF0005	YP_002286969.1	-	2.899999999999999e-133	433.9	0.1	3.2999999999999993e-133	433.7	0.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	573	Klebsiella pneumoniae	YP_002286969.1	209901188	bacteria|complete|plasmid	PROVISIONAL	201	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
346582	KPC	RF0083	YP_002286981.1	-	3.8999999999999984e-209	685.6	4.0	4.3999999999999975e-209	685.4	4.0	1.0	1.0	0	0	1	1	1	1	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	573	Klebsiella pneumoniae	YP_002286981.1	209901200	bacteria|complete|plasmid	PROVISIONAL	293	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
346994	Chlor_Acetyltrans_CAT	RF0050	YP_002291032.1	-	7.2000000000000005e-90	293.3	1.4	7.899999999999998e-90	293.2	1.4	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	727	Haemophilus influenzae	YP_002291032.1	209947535	bacteria|complete|plasmid	PROVISIONAL	213	727.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae						cellular organisms																																							
347035	TetA-B	RF0128	YP_002291038.1	-	6.899999999999998e-278	913.8	30.6	7.699999999999995e-278	913.6	30.6	1.0	1.0	0	0	1	1	1	1	tetA(B): tetracycline resistance MFS efflux pump [ARO:3000165]	727	Haemophilus influenzae	YP_002291038.1	209947541	bacteria|complete|plasmid	PROVISIONAL	401	727.0	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae						cellular organisms																																							
