	target	target_accession	query	query_accesion	full_evalue	full_score	full_bias	best_evalue	best_score	best_bias	exp	reg	clu	ov	env	dom	rep	inc	description	taxid	organism	id	gi	db	status	length
246	APH3	RF0033	YP_001687822.1	-	1.1999999999999996e-146	479.9	0.0	1.3e-146	479.8	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	562	Escherichia coli	YP_001687822.1	168998554	bacteria|complete|plasmid	PROVISIONAL	271
247	Chlor_Acetyltrans_CAT	RF0050	YP_001687824.1	-	2.3999999999999995e-60	196.8	1.7	2.9e-60	196.6	1.7	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	562	Escherichia coli	YP_001687824.1	168998556	bacteria|complete|plasmid	PROVISIONAL	145
248	TetA	RF0127	YP_001687825.1	-	1.9999999999999995e-187	615.7	31.1	2.1999999999999998e-187	615.6	31.1	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	562	Escherichia coli	YP_001687825.1	168998557	bacteria|complete|plasmid	PROVISIONAL	396
249	TetA	RF0127	YP_001691008.1	-	2.0999999999999995e-214	704.6	23.6	2.399999999999999e-214	704.4	23.6	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	168471	Laribacter hongkongensis	YP_001691008.1	170783437	bacteria|complete|plasmid	PROVISIONAL	424
250	tet_MFS_efflux	RF0134	YP_001691306.1	-	2.0999999999999998e-106	349.0	36.7	2.3999999999999993e-106	348.8	36.7	1.0	1.0	0	0	1	1	1	1	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	1599	Lactobacillus sakei	YP_001691306.1	169544161	bacteria|complete|plasmid	PROVISIONAL	460
251	TEM	RF0126	YP_001693174.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	562	Escherichia coli	YP_001693174.1	169303001	bacteria|complete|plasmid	PROVISIONAL	286
252	MexE	RF0098	YP_001693237.1	-	2.8999999999999997e-108	355.2	5.5	3.499999999999999e-108	354.9	5.5	1.0	1.0	0	0	1	1	1	1	mexE: membrane fusion protein of the MexEF-OprN multidrug efflux complex [ARO:3000803]	562	Escherichia coli	YP_001693237.1	169303065	bacteria|complete|plasmid	PROVISIONAL	391
253	RND_efflux	RF0115	YP_001693238.1	-	0.0	1084.2	12.2	0.0	1083.9	12.2	1.0	1.0	0	0	1	1	1	1	resistance-nodulation-cell division (RND) antibiotic efflux pump [ARO:0010004]	562	Escherichia coli	YP_001693238.1	169303066	bacteria|complete|plasmid	PROVISIONAL	1050
254	macB	RF0089	YP_001711875.1	-	3.299999999999998e-201	662.4	10.9	3.7999999999999986e-201	662.2	10.9	1.1	1.0	0	0	1	1	1	1	macB: subunit of efflux pump conferring antibiotic resistance [ARO:3000535]	562	Escherichia coli	YP_001711875.1	169546433	bacteria|complete|plasmid	PROVISIONAL	646
255	msbA	RF0107	YP_001711888.1	-	3.0999999999999983e-211	695.3	2.5	1.6999999999999996e-108	356.2	0.0	2.0	2.0	0	0	2	2	0	0	msbA: ATP-binding cassette (ABC) antibiotic efflux pump [ARO:3000460]	562	Escherichia coli	YP_001711888.1	169546439	bacteria|complete|plasmid	PROVISIONAL	1219
256	blaI	RF0042	YP_001715977.1	-	3.0999999999999997e-85	275.5	16.8	3.399999999999999e-85	275.3	16.8	1.0	1.0	0	0	1	1	1	1	blaI: gene modulating beta-lactam resistance, regulates PC1 beta-lactamase (blaZ) [ARO:3000090]	1280	Staphylococcus aureus	YP_001715977.1	170780433	bacteria|complete|plasmid	PROVISIONAL	126
257	blaR1	RF0043	YP_001715978.1	-	0.0	1354.9	60.9	0.0	1354.7	60.9	1.0	1.0	0	0	1	1	1	1	blaR1: gene modulating beta-lactam resistance, regulates PC1 beta-lactamase (blaZ) [ARO:3000217]	1280	Staphylococcus aureus	YP_001715978.1	170780434	bacteria|complete|plasmid	PROVISIONAL	585
258	PC1	RF0111	YP_001715979.1	-	3.1999999999999997e-96	314.7	10.0	3.6999999999999994e-96	314.5	10.0	1.0	1.0	0	0	1	1	1	1	PC1: blaZ beta-lactamase (class a) [ARO:3000621]	1280	Staphylococcus aureus	YP_001715979.1	170780435	bacteria|complete|plasmid	PROVISIONAL	159
259	APH3	RF0033	YP_001715988.1	-	1.8e-18	59.8	0.1	3e-18	59.1	0.1	1.3	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	1280	Staphylococcus aureus	YP_001715988.1	170780444	bacteria|complete|plasmid	PROVISIONAL	479
260	ClassA	RF0053	YP_001715991.1	-	6.5e-23	74.0	0.0	7e-23	73.9	0.0	1.0	1.0	0	0	1	1	1	1	Class A beta-lactamase [ARO:3000078]	1280	Staphylococcus aureus	YP_001715991.1	170780447	bacteria|complete|plasmid	PROVISIONAL	80
261	Erm23S_rRNA_methyltrans	RF0067	YP_001716198.2	-	1.9999999999999996e-90	295.4	0.6	2.2e-90	295.3	0.6	1.0	1.0	0	0	1	1	1	1	Emr 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000560]	1314	Streptococcus pyogenes	YP_001716198.2	506971235	bacteria|complete|plasmid	PROVISIONAL	244
262	Chlor_Acetyltrans_CAT	RF0050	YP_001718362.1	-	9.9e-87	283.1	1.2	1.0999999999999999e-86	282.9	1.2	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	1280	Staphylococcus aureus	YP_001718362.1	170780405	bacteria|complete|plasmid	PROVISIONAL	216
263	Chlor_Acetyltrans_CAT	RF0050	YP_001718364.1	-	9.9e-87	283.1	1.2	1.0999999999999999e-86	282.9	1.2	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	1280	Staphylococcus aureus	YP_001718364.1	170780408	bacteria|complete|plasmid	PROVISIONAL	216
264	ClassD	RF0056	YP_001736307.1	-	4.599999999999999e-110	359.7	0.1	5.099999999999999e-110	359.6	0.1	1.0	1.0	0	0	1	1	1	1	Class D beta-lactamases [ARO:3000075;ARO:3000017]	470	Acinetobacter baumannii	YP_001736307.1	170780388	bacteria|complete|plasmid	PROVISIONAL	280
265	ABC_efflux	RF0007	YP_001736316.1	-	1e-85	281.2	3.8	1.2999999999999998e-85	280.9	3.8	1.0	1.0	0	0	1	1	1	1	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	470	Acinetobacter baumannii	YP_001736316.1	170780397	bacteria|complete|plasmid	PROVISIONAL	491
266	ANT3	RF0027	YP_001746868.1	-	8.299999999999998e-169	552.5	1.1	9.299999999999997e-169	552.3	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	149387	Salmonella enterica subsp. enterica serovar Brandenburg	YP_001746868.1	170783426	bacteria|complete|plasmid	PROVISIONAL	263
267	TetA-B	RF0128	YP_001746874.1	-	6.899999999999998e-278	913.8	30.6	7.699999999999995e-278	913.6	30.6	1.0	1.0	0	0	1	1	1	1	tetA(B): tetracycline resistance MFS efflux pump [ARO:3000165]	149387	Salmonella enterica subsp. enterica serovar Brandenburg	YP_001746874.1	170783432	bacteria|complete|plasmid	PROVISIONAL	401
268	ErmB	RF0070	YP_001798641.1	-	9.499999999999997e-174	568.4	16.0	1.0999999999999996e-173	568.2	16.0	1.0	1.0	0	0	1	1	1	1	ErmB: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000375]	1363	Lactococcus garvieae	YP_001798641.1	187729640	bacteria|complete|plasmid	PROVISIONAL	245
269	TetM-TetW-TetO-TetS	RF0133	YP_001798653.1	-	0.0	1215.1	3.2	0.0	1214.9	3.2	1.0	1.0	0	0	1	1	1	1	tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	1363	Lactococcus garvieae	YP_001798653.1	187729652	bacteria|complete|plasmid	PROVISIONAL	646
270	ErmB	RF0070	YP_001798654.1	-	1.2999999999999997e-173	567.9	16.3	1.4999999999999993e-173	567.7	16.3	1.0	1.0	0	0	1	1	1	1	ErmB: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000375]	1363	Lactococcus garvieae	YP_001798654.1	187729653	bacteria|complete|plasmid	PROVISIONAL	245
271	TetA-B	RF0128	YP_001816585.1	-	6.899999999999998e-278	913.8	30.6	7.699999999999995e-278	913.6	30.6	1.0	1.0	0	0	1	1	1	1	tetA(B): tetracycline resistance MFS efflux pump [ARO:3000165]	562	Escherichia coli	YP_001816585.1	187736847	bacteria|complete|plasmid	PROVISIONAL	401
272	Chlor_Acetyltrans_CAT	RF0050	YP_001816591.1	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	562	Escherichia coli	YP_001816591.1	187736853	bacteria|complete|plasmid	PROVISIONAL	219
273	ANT3	RF0027	YP_001816600.1	-	1.5999999999999997e-145	476.2	0.1	1.6999999999999996e-145	476.0	0.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	562	Escherichia coli	YP_001816600.1	187736862	bacteria|complete|plasmid	PROVISIONAL	262
274	TEM	RF0126	YP_001816609.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	562	Escherichia coli	YP_001816609.1	187736871	bacteria|complete|plasmid	PROVISIONAL	286
275	16S_rRNA_methyltrans	RF0001	YP_001816610.1	-	2.8999999999999988e-145	475.3	0.0	3.299999999999999e-145	475.2	0.0	1.0	1.0	0	0	1	1	1	1	16S ribosomal RNA methyltransferase [ARO:3000857]	562	Escherichia coli	YP_001816610.1	187736872	bacteria|complete|plasmid	PROVISIONAL	251
276	MFS_efflux	RF0104	YP_001816613.1	-	3.799999999999999e-125	410.8	52.9	4.2999999999999997e-125	410.6	52.9	1.0	1.0	0	0	1	1	1	1	major facilitator superfamily (MFS) antibiotic efflux pump [ARO:0010002]	562	Escherichia coli	YP_001816613.1	187736875	bacteria|complete|plasmid	PROVISIONAL	511
277	TetM-TetW-TetO-TetS	RF0133	YP_001840820.1	-	0.0	1354.0	0.0	0.0	1353.9	0.0	1.0	1.0	0	0	1	1	1	1	tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	1598	Lactobacillus reuteri	YP_001840820.1	183219418	bacteria|complete|plasmid	PROVISIONAL	639
278	Chlor_Acetyltrans_CAT	RF0050	YP_001863294.1	-	4.9e-86	280.8	1.4	5.4e-86	280.7	1.4	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	1296	Staphylococcus sciuri	YP_001863294.1	187729633	bacteria|complete|plasmid	PROVISIONAL	216
279	TEM	RF0126	YP_001874868.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	587	Providencia rettgeri	YP_001874868.1	187729587	bacteria|complete|plasmid	PROVISIONAL	286
280	APH6	RF0034	YP_001874898.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	587	Providencia rettgeri	YP_001874898.1	187729617	bacteria|complete|plasmid	PROVISIONAL	278
281	ANT3	RF0027	YP_001874900.1	-	1.0999999999999998e-158	519.3	0.9	1.1999999999999996e-158	519.2	0.9	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	587	Providencia rettgeri	YP_001874900.1	187729619	bacteria|complete|plasmid	PROVISIONAL	265
282	ErmC	RF0071	YP_001901402.1	-	1.1999999999999995e-171	561.4	23.2	1.3999999999999994e-171	561.3	23.2	1.0	1.0	0	0	1	1	1	1	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000250]	1280	Staphylococcus aureus	YP_001901402.1	188039010	bacteria|complete|plasmid	PROVISIONAL	244
283	ErmC	RF0071	YP_001901404.1	-	1.1999999999999995e-171	561.4	23.2	1.3999999999999994e-171	561.3	23.2	1.0	1.0	0	0	1	1	1	1	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000250]	1280	Staphylococcus aureus	YP_001901404.1	188039007	bacteria|complete|plasmid	PROVISIONAL	244
284	TetA	RF0127	YP_001911158.1	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	98360	Salmonella enterica subsp. enterica serovar Dublin	YP_001911158.1	189009830	bacteria|complete|plasmid	PROVISIONAL	399
285	APH3''	RF0172	YP_001911195.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	98360	Salmonella enterica subsp. enterica serovar Dublin	YP_001911195.1	189009824	bacteria|complete|plasmid	PROVISIONAL	267
286	APH6	RF0034	YP_001911196.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	98360	Salmonella enterica subsp. enterica serovar Dublin	YP_001911196.1	189009825	bacteria|complete|plasmid	PROVISIONAL	278
287	TEM	RF0126	YP_001928075.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	573	Klebsiella pneumoniae	YP_001928075.1	189009193	bacteria|complete|plasmid	PROVISIONAL	286
288	ClassD	RF0056	YP_001928076.1	-	7.699999999999999e-68	221.3	0.0	8.899999999999998e-68	221.1	0.0	1.0	1.0	0	0	1	1	1	1	Class D beta-lactamases [ARO:3000075;ARO:3000017]	573	Klebsiella pneumoniae	YP_001928076.1	189009194	bacteria|complete|plasmid	PROVISIONAL	279
289	ANT3	RF0027	YP_001928077.1	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	573	Klebsiella pneumoniae	YP_001928077.1	189009195	bacteria|complete|plasmid	PROVISIONAL	262
290	AAC6-Ib	RF0005	YP_001928078.1	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	573	Klebsiella pneumoniae	YP_001928078.1	189009196	bacteria|complete|plasmid	PROVISIONAL	201
291	ClassD	RF0056	YP_001928079.1	-	7.699999999999999e-68	221.3	0.0	8.899999999999998e-68	221.1	0.0	1.0	1.0	0	0	1	1	1	1	Class D beta-lactamases [ARO:3000075;ARO:3000017]	573	Klebsiella pneumoniae	YP_001928079.1	189009197	bacteria|complete|plasmid	PROVISIONAL	279
292	ANT3	RF0027	YP_001928080.1	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	573	Klebsiella pneumoniae	YP_001928080.1	189009198	bacteria|complete|plasmid	PROVISIONAL	262
293	AAC6-Ib	RF0005	YP_001928081.1	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	573	Klebsiella pneumoniae	YP_001928081.1	189009199	bacteria|complete|plasmid	PROVISIONAL	201
294	AAC3	RF0002	YP_001941134.1	-	3.3999999999999996e-146	478.6	0.4	3.899999999999999e-146	478.4	0.4	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	715	Actinobacillus pleuropneumoniae	YP_001941134.1	189332437	bacteria|complete|plasmid	PROVISIONAL	286
295	Chlor_Acetyltrans_CAT	RF0050	YP_001941136.1	-	3.599999999999999e-87	284.5	1.0	3.8999999999999994e-87	284.4	1.0	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	715	Actinobacillus pleuropneumoniae	YP_001941136.1	189332439	bacteria|complete|plasmid	PROVISIONAL	213
296	APH3''	RF0172	YP_001941137.1	-	4.399999999999999e-165	540.5	0.2	4.899999999999998e-165	540.3	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	715	Actinobacillus pleuropneumoniae	YP_001941137.1	189332440	bacteria|complete|plasmid	PROVISIONAL	267
297	ClassA	RF0053	YP_001941143.1	-	1.4999999999999997e-98	322.2	1.2	1.9999999999999996e-98	321.9	1.2	1.0	1.0	0	0	1	1	1	1	Class A beta-lactamase [ARO:3000078]	715	Actinobacillus pleuropneumoniae	YP_001941143.1	189332446	bacteria|complete|plasmid	PROVISIONAL	305
298	APH3	RF0033	YP_001941144.1	-	9.399999999999997e-146	477.0	0.0	1.0999999999999996e-145	476.8	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	715	Actinobacillus pleuropneumoniae	YP_001941144.1	189332447	bacteria|complete|plasmid	PROVISIONAL	271
299	TEM	RF0126	YP_001965403.1	-	4.399999999999998e-205	672.1	0.0	4.899999999999998e-205	672.0	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	562	Escherichia coli	YP_001965403.1	190014891	bacteria|complete|plasmid	PROVISIONAL	286
300	ANT6	RF0029	YP_001965484.1	-	1.7999999999999992e-187	614.3	12.2	1.9999999999999995e-187	614.2	12.2	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT6) [ARO:3000225]	1254	Pediococcus acidilactici	YP_001965484.1	190410481	bacteria|complete|plasmid	PROVISIONAL	288
301	ErmB	RF0070	YP_001965493.1	-	1.0999999999999997e-170	558.3	15.1	1.1999999999999996e-170	558.1	15.1	1.0	1.0	0	0	1	1	1	1	ErmB: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000375]	1254	Pediococcus acidilactici	YP_001965493.1	190410490	bacteria|complete|plasmid	PROVISIONAL	245
302	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	YP_001965780.1	-	4.7999999999999975e-198	650.4	2.6	5.599999999999997e-198	650.2	2.6	1.0	1.0	0	0	1	1	1	1	A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c) [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	573	Klebsiella pneumoniae	YP_001965780.1	190410279	bacteria|complete|plasmid	PROVISIONAL	382
303	ANT3	RF0027	YP_001965793.1	-	2.899999999999999e-168	550.7	0.8	3.199999999999999e-168	550.5	0.8	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	573	Klebsiella pneumoniae	YP_001965793.1	190410290	bacteria|complete|plasmid	PROVISIONAL	272
304	Chlor_Acetyltrans_CAT	RF0050	YP_001965795.1	-	1.3e-50	164.9	0.0	1.5999999999999998e-50	164.7	0.0	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	573	Klebsiella pneumoniae	YP_001965795.1	190410292	bacteria|complete|plasmid	PROVISIONAL	210
305	CTXM	RF0059	YP_001965928.1	-	4.699999999999998e-193	632.8	4.5	5.199999999999998e-193	632.6	4.5	1.0	1.0	0	0	1	1	1	1	CTX-M beta-lactamase (class a) [ARO:3000016]	573	Klebsiella pneumoniae	YP_001965928.1	190410425	bacteria|complete|plasmid	PROVISIONAL	291
306	tet_MFS_efflux	RF0134	YP_001966009.1	-	9.799999999999998e-107	350.1	36.3	1.0999999999999997e-106	349.9	36.3	1.0	1.0	0	0	1	1	1	1	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	1464	Paenibacillus larvae	YP_001966009.1	190410539	bacteria|complete|plasmid	PROVISIONAL	460
307	TEM	RF0126	YP_001966135.1	-	2.599999999999999e-204	669.6	0.0	2.8999999999999987e-204	669.4	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	485	Neisseria gonorrhoeae	YP_001966135.1	190410144	bacteria|complete|plasmid	PROVISIONAL	286
308	TetD	RF0130	YP_001966176.1	-	1.3999999999999993e-269	886.3	34.1	1.599999999999999e-269	886.1	34.1	1.0	1.0	0	0	1	1	1	1	tetD: tetracycline resistance MFS efflux pump [ARO:3000168]	573	Klebsiella pneumoniae	YP_001966176.1	190576844	bacteria|complete|plasmid	PROVISIONAL	394
309	APH3''	RF0172	YP_001966217.1	-	2.6e-124	406.8	0.4	2.8999999999999994e-124	406.6	0.4	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	573	Klebsiella pneumoniae	YP_001966217.1	190576885	bacteria|complete|plasmid	PROVISIONAL	205
310	APH6	RF0034	YP_001966218.1	-	8.799999999999998e-150	490.7	1.5	9.699999999999997e-150	490.6	1.5	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	573	Klebsiella pneumoniae	YP_001966218.1	190576886	bacteria|complete|plasmid	PROVISIONAL	278
311	Chlor_Acetyltrans_CAT	RF0050	YP_001966224.1	-	7.799999999999998e-89	289.9	0.3	8.699999999999997e-89	289.8	0.3	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	573	Klebsiella pneumoniae	YP_001966224.1	190576892	bacteria|complete|plasmid	PROVISIONAL	213
312	SHV-LEN	RF0119	YP_001966240.1	-	8.499999999999995e-204	667.9	2.5	9.499999999999995e-204	667.7	2.5	1.0	1.0	0	0	1	1	1	1	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	573	Klebsiella pneumoniae	YP_001966240.1	190576908	bacteria|complete|plasmid	PROVISIONAL	286
313	AAC3	RF0002	YP_001966247.1	-	3.3999999999999996e-146	478.6	0.4	3.899999999999999e-146	478.4	0.4	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	573	Klebsiella pneumoniae	YP_001966247.1	190576915	bacteria|complete|plasmid	PROVISIONAL	286
314	ClassA	RF0053	YP_001966253.1	-	1.4999999999999997e-111	364.9	0.0	1.6999999999999996e-111	364.7	0.0	1.0	1.0	0	0	1	1	1	1	Class A beta-lactamase [ARO:3000078]	573	Klebsiella pneumoniae	YP_001966253.1	190576921	bacteria|complete|plasmid	PROVISIONAL	285
315	Qnr	RF0113	YP_001966255.1	-	6.1e-123	401.4	8.6	6.799999999999999e-123	401.3	8.6	1.0	1.0	0	0	1	1	1	1	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	573	Klebsiella pneumoniae	YP_001966255.1	190576923	bacteria|complete|plasmid	PROVISIONAL	218
316	TetH-TetJ	RF0132	YP_001966263.1	-	1.2999999999999993e-280	922.9	29.3	1.399999999999999e-280	922.7	29.3	1.0	1.0	0	0	1	1	1	1	tetH and TetJ: tetracycline resistance MFS efflux pumps [ARO:3000175;ARO:3000177]	715	Actinobacillus pleuropneumoniae	YP_001966263.1	190570468	bacteria|complete|plasmid	PROVISIONAL	400
317	TEM	RF0126	YP_001966385.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	90371	Salmonella enterica subsp. enterica serovar Typhimurium	YP_001966385.1	190570395	bacteria|complete|plasmid	PROVISIONAL	286
318	APH3''	RF0172	YP_001966535.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	728	Avibacterium paragallinarum	YP_001966535.1	190570474	bacteria|complete|plasmid	PROVISIONAL	267
319	APH3	RF0033	YP_001966537.1	-	6.899999999999998e-145	474.2	0.0	7.699999999999998e-145	474.0	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	728	Avibacterium paragallinarum	YP_001966537.1	190570476	bacteria|complete|plasmid	PROVISIONAL	271
320	Chlor_Acetyltrans_CAT	RF0050	YP_001966860.1	-	2.1999999999999994e-89	291.7	0.2	2.3999999999999998e-89	291.6	0.2	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	644	Aeromonas hydrophila	YP_001966860.1	190570438	bacteria|complete|plasmid	PROVISIONAL	213
321	ANT3	RF0027	YP_001966864.1	-	6.399999999999998e-168	549.5	0.9	7.199999999999997e-168	549.4	0.9	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	644	Aeromonas hydrophila	YP_001966864.1	190570442	bacteria|complete|plasmid	PROVISIONAL	263
322	tet_ribosomoal_protect	RF0135	YP_001967743.1	-	9.499999999999995e-288	948.6	5.5	1.0999999999999994e-287	948.4	5.5	1.0	1.0	0	0	1	1	1	1	tetracycline resistance ribosomal protection protein: protect RNA-polymerase from tetracycline inhibition [ARO:0000002]	1502	Clostridium perfringens	YP_001967743.1	190015738	bacteria|complete|plasmid	PROVISIONAL	652
323	vanZ	RF0160	YP_001974793.1	-	3.1999999999999993e-103	335.5	18.6	3.5999999999999993e-103	335.3	18.6	1.0	1.0	0	0	1	1	1	1	VanZ: glycopeptide resistance gene [ARO:3000116]	1352	Enterococcus faecium	YP_001974793.1	190606508	bacteria|complete|plasmid	PROVISIONAL	161
324	vanY	RF0159	YP_001974794.1	-	7.499999999999998e-129	422.4	4.2	9.399999999999996e-129	422.1	4.2	1.1	1.0	0	0	1	1	1	1	VanY: glycopeptide resistance gene [ARO:3000077]	1352	Enterococcus faecium	YP_001974794.1	190606509	bacteria|complete|plasmid	PROVISIONAL	303
325	vanX	RF0158	YP_001974795.1	-	6.399999999999998e-117	381.3	0.1	7.099999999999998e-117	381.1	0.1	1.0	1.0	0	0	1	1	1	1	VanX: glycopeptide resistance gene [ARO:3000011]	1352	Enterococcus faecium	YP_001974795.1	190606510	bacteria|complete|plasmid	PROVISIONAL	202
326	vanA	RF0149	YP_001974796.1	-	8.899999999999995e-245	803.8	0.8	9.899999999999995e-245	803.6	0.8	1.0	1.0	0	0	1	1	1	1	VanA: D-Ala-D-Ala ligase that can synthesize D-Ala-D-Lac [ARO:3000010]	1352	Enterococcus faecium	YP_001974796.1	190606511	bacteria|complete|plasmid	PROVISIONAL	343
327	vanH	RF0153	YP_001974797.1	-	2.2999999999999988e-196	644.0	0.7	2.499999999999999e-196	643.9	0.7	1.0	1.0	0	0	1	1	1	1	VanH: D-specific alpha-ketoacid dehydrogenase that synthesizes D-lactate [ARO:3000006]	1352	Enterococcus faecium	YP_001974797.1	190606512	bacteria|complete|plasmid	PROVISIONAL	322
